"Variables ->","i","i_star","D4L_cpi","D4L_pce_core","gdp_gap","gdp_gap_star"
"Comments ->","","","","","",""
"Class[Size] ->","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]"
"2014M01",5.00000000e+00,7.00000000e-02,4.05610909e+00,1.44201432e+00,-1.29490311e-01,6.89958193e-01
"2014M02",5.00000000e+00,6.00000000e-02,3.44404899e+00,1.38054428e+00,1.17053107e+00,6.25243477e-01
"2014M03",5.00000000e+00,6.00000000e-02,3.19442886e+00,1.43704790e+00,1.49661929e-01,6.17161363e-01
"2014M04",4.75000000e+00,9.00000000e-02,3.21503315e+00,1.55904927e+00,1.20042748e+00,7.83988830e-01
"2014M05",4.75000000e+00,8.00000000e-02,3.17208756e+00,1.61061592e+00,1.56077722e+00,7.64383084e-01
"2014M06",4.75000000e+00,9.00000000e-02,3.08413676e+00,1.55144746e+00,6.85227057e-01,9.34219200e-01
"2014M07",4.50000000e+00,8.00000000e-02,3.35692217e+00,1.59749318e+00,1.19248803e+00,7.77542664e-01
"2014M08",4.50000000e+00,7.00000000e-02,3.63298906e+00,1.52801477e+00,7.35032347e-01,8.46489662e-01
"2014M09",4.50000000e+00,7.00000000e-02,3.39366850e+00,1.54288415e+00,5.31234495e-01,9.29283689e-01
"2014M10",4.50000000e+00,7.00000000e-02,3.57273309e+00,1.46020131e+00,4.73968679e-01,1.12574255e+00
"2014M11",4.50000000e+00,8.00000000e-02,3.32044954e+00,1.38297125e+00,1.05389851e+00,1.00785210e+00
"2014M12",4.00000000e+00,6.00000000e-02,2.90473288e+00,1.34723025e+00,1.57555091e-01,8.84537809e-01
"2015M01",4.00000000e+00,6.00000000e-02,2.29578889e+00,1.20245282e+00,4.28394062e-01,8.36127483e-01
"2015M02",4.00000000e+00,6.00000000e-02,2.40996184e+00,1.26939066e+00,7.46252134e-01,8.18123403e-01
"2015M03",3.50000000e+00,6.00000000e-02,2.39614408e+00,1.27270652e+00,5.93764791e-01,9.12960746e-01
"2015M04",3.50000000e+00,8.00000000e-02,2.54345024e+00,1.28606747e+00,-7.14812416e-02,8.67579501e-01
"2015M05",3.50000000e+00,8.00000000e-02,2.52099877e+00,1.23948764e+00,-3.94331921e-01,7.88271821e-01
"2015M06",3.50000000e+00,8.00000000e-02,2.35704003e+00,1.24635501e+00,6.95172448e-01,7.90494741e-01
"2015M07",3.25000000e+00,8.00000000e-02,2.29371722e+00,1.17205453e+00,1.56831025e+00,8.23321980e-01
"2015M08",3.25000000e+00,8.00000000e-02,1.94327881e+00,1.21385748e+00,7.86810886e-01,7.39788973e-01
"2015M09",3.25000000e+00,7.00000000e-02,1.85899285e+00,1.22459594e+00,5.15339463e-01,8.09850173e-01
"2015M10",3.00000000e+00,7.00000000e-02,2.20507782e+00,1.17110440e+00,2.94739654e-01,6.52629046e-01
"2015M11",3.00000000e+00,8.00000000e-02,2.48184871e+00,1.18959819e+00,-2.44243161e-02,5.71592172e-01
"2015M12",3.00000000e+00,2.00000000e-01,3.02016781e+00,1.18465585e+00,-7.85809322e-01,5.12536528e-01
"2016M01",3.00000000e+00,2.90000000e-01,4.28464656e+00,1.39644443e+00,-8.00434645e-01,5.27111040e-01
"2016M02",3.00000000e+00,2.90000000e-01,4.18214101e+00,1.45524572e+00,-1.41273785e+00,4.15762903e-01
"2016M03",3.00000000e+00,2.50000000e-01,4.17348197e+00,1.44692922e+00,-1.96861993e+00,4.39417058e-01
"2016M04",3.00000000e+00,3.00000000e-01,4.00598637e+00,1.50851319e+00,3.02292337e-01,4.03321367e-01
"2016M05",3.00000000e+00,2.90000000e-01,4.26437152e+00,1.55655540e+00,-8.48161593e-01,5.63215588e-01
"2016M06",3.00000000e+00,3.00000000e-01,4.33727857e+00,1.54047744e+00,-1.13437336e+00,5.11041871e-01
"2016M07",3.00000000e+00,3.00000000e-01,4.51510848e+00,1.58667724e+00,-2.19961333e+00,5.72176959e-01
"2016M08",3.00000000e+00,3.00000000e-01,4.63155005e+00,1.68272096e+00,-2.45192123e-01,5.09867854e-01
"2016M09",3.00000000e+00,2.90000000e-01,4.45785767e+00,1.67121168e+00,6.63245772e-01,4.29799557e-01
"2016M10",3.00000000e+00,3.10000000e-01,4.65011686e+00,1.76670973e+00,-5.33984220e-01,3.64679469e-01
"2016M11",3.00000000e+00,3.10000000e-01,4.56567721e+00,1.70425390e+00,1.06618844e+00,3.16464168e-01
"2016M12",3.00000000e+00,5.50000000e-01,4.14529592e+00,1.75460953e+00,8.66511528e-01,1.72869944e-01
"2017M01",3.00000000e+00,5.60000000e-01,3.75623510e+00,1.84618754e+00,7.19034937e-01,-8.24653147e-02
"2017M02",3.00000000e+00,5.70000000e-01,3.88142918e+00,1.85005555e+00,4.05697183e-01,1.11493739e-01
